hkdate,view_count
2017-11-14,15609
2017-11-15,15812
2017-11-16,20357
2017-11-17,16888
2017-11-18,16377
2017-11-19,40483
2017-11-20,24850
2017-11-21,21935
2017-11-22,19006
2017-11-23,17273
2017-11-24,19743
2017-11-25,27900
2017-11-26,35845
2017-11-27,26646
2017-11-28,20543
2017-11-29,26307
2017-11-30,31792
2017-12-01,28784
2017-12-02,28384
2017-12-03,30807
2017-12-04,22618
2017-12-05,30562
2017-12-06,24615
2017-12-07,31848
2017-12-08,31735
2017-12-09,32787
2017-12-10,27590
2017-12-11,26283
2017-12-12,24874
2017-12-13,20713
2017-12-14,21436
2017-12-15,27854
2017-12-16,22096
2017-12-17,20124
2017-12-18,19510
2017-12-19,19182
2017-12-20,21284
2017-12-21,20894
2017-12-22,20075
2017-12-23,19394
2017-12-24,20462
2017-12-25,20738
2017-12-26,16083
2017-12-27,16637
2017-12-28,17937
2017-12-30,21801
2017-12-31,27652
2018-01-01,22181
2018-01-02,17247
2018-01-03,21597
2018-01-04,20410
2018-01-05,19526
2018-01-06,26425
2018-01-07,28860
2018-01-08,19451
2018-01-09,16052
2018-01-10,18792
2018-01-11,24028
2018-01-13,21277
2018-01-14,22109
2018-01-15,17755
2018-01-16,19979
2018-01-17,30384
2018-01-18,22918
2018-01-19,37126
2018-01-20,28701
2018-01-21,65442
2018-01-22,34305
2018-01-23,21338
2018-01-24,17390
2018-01-25,17747
2018-01-26,16801
2018-01-27,17721
2018-01-28,23678
2018-01-29,18792
2018-01-30,18575
2018-01-31,22515
2018-02-01,19101
2018-02-02,12316
2018-02-03,17424
2018-02-04,14163
2018-02-05,13825
2018-02-06,14515
2018-02-08,19490
2018-02-09,18002
2018-02-10,16971
2018-02-11,27106
2018-02-12,16219
2018-02-13,15758
2018-02-14,21319
2018-02-15,21895
2018-02-16,30134
2018-02-17,16670
2018-02-18,16731
2018-02-19,14581
2018-02-20,13097
2018-02-21,14982
2018-02-22,17167
2018-02-23,15369
2018-02-24,12499
2018-02-25,14391
2018-02-26,17695
2018-02-27,16916
2018-02-28,14694
2018-03-01,16287
2018-03-02,24009
2018-03-03,15008
2018-03-04,15502
2018-03-05,17890
2018-03-06,19836
2018-03-07,16439
2018-03-08,19381
2018-03-09,21793
2018-03-10,24896
2018-03-11,21581
2018-03-12,18106
2018-03-13,18273
2018-03-14,19069
2018-03-15,17272
2018-03-16,18924
2018-03-17,12164
2018-03-18,13015
2018-03-19,21324
2018-03-20,19366
2018-03-21,14745
2018-03-22,15601
2018-03-23,14575
2018-03-24,13599
2018-03-25,19140
2018-03-26,20672
2018-03-27,15232
2018-03-28,15683
2018-03-29,14418
2018-03-30,13165
2018-03-31,13654
2018-04-01,16279
2018-04-02,12525
2018-04-03,13060
2018-04-04,12907
2018-04-05,13077
2018-04-06,14849
2018-04-07,13178
2018-04-08,12351
2018-04-09,12552
2018-04-10,12529
2018-04-11,14648
2018-04-12,13142
2018-04-13,15193
2018-04-14,11871
2018-04-15,15603
2018-04-16,15865
2018-04-17,11121
2018-04-18,12249
2018-04-19,11336
2018-04-20,12125
2018-04-21,10039
2018-04-22,14344
